website,website_agency,website_bureau,website_office,domain_agency_in_registry,domain_bureau_in_registry,agency_matches,bureaus_match,website_agency_name_in_registry,website_bureau_name_in_registry
access.trade.gov,Department of Commerce,ITA,,Department of Commerce,International Trade Administration,TRUE,FALSE,TRUE,FALSE
beta.trade.gov,Department of Commerce,ITA,,Department of Commerce,International Trade Administration,TRUE,FALSE,TRUE,FALSE
dataprivacyframework.gov,Department of Commerce,ITA,,Department of Commerce,International Trade Administration,TRUE,FALSE,TRUE,FALSE
developer.trade.gov,Department of Commerce,ITA,,Department of Commerce,International Trade Administration,TRUE,FALSE,TRUE,FALSE
enforcement.trade.gov,Department of Commerce,ITA,,Department of Commerce,International Trade Administration,TRUE,FALSE,TRUE,FALSE
esel.trade.gov,Department of Commerce,ITA,,Department of Commerce,International Trade Administration,TRUE,FALSE,TRUE,FALSE
legacy.export.gov,Department of Commerce,ITA,,Department of Commerce,International Trade Administration,TRUE,FALSE,TRUE,FALSE
legacy.trade.gov,Department of Commerce,ITA,,Department of Commerce,International Trade Administration,TRUE,FALSE,TRUE,FALSE
ofis.trade.gov,Department of Commerce,ITA,,Department of Commerce,International Trade Administration,TRUE,FALSE,TRUE,FALSE
stopfakes.gov,Department of Commerce,ITA,,Department of Commerce,International Trade Administration,TRUE,FALSE,TRUE,FALSE
trade.gov,Department of Commerce,ITA,,Department of Commerce,International Trade Administration,TRUE,FALSE,TRUE,FALSE
wwtg.gov,Department of Commerce,ITA,,Department of Commerce,International Trade Administration,TRUE,FALSE,TRUE,FALSE
mbda.gov,Department of Commerce,MBDA,,Department of Commerce,Minority Business Development Agency,TRUE,FALSE,TRUE,FALSE
abacus.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
actev.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
acvts.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
adsorption.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ai-challenges.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
airc.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ambench.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ambench2022.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ammd.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
aphl.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
askchips.chips.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
baldrigeresources.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
bbddata.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
boudicca.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
boulder.doc.gov,Department of Commerce,NIST,,Department of Commerce,Office of the Chief Information Officer,TRUE,FALSE,TRUE,FALSE
calnet.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
cccbdb.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
cda-validation.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
cdcs.registry.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
cfreds.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
cfreds-archive.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
chemdata.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
circular.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
code.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
concrete.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
consensus.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
covid19-data.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
csrc.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
cstl.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
data.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
decisiontree.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
dlmf.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
duc.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
e3.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ecc.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
edges.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
emtoolbox.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
events.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
firedoc.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
fits.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
gams.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
gashydrates.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
ghgr.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
hit-dev.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
hit-nexus.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
hl7v2-elr-testing.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
hl7v2-gvt.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
hl7v2-igamt.nist.gov,Department of Commerce,NIST,,Department of Commerce,National Institute of Standards and Technology,TRUE,FALSE,TRUE,FALSE
